% Model:              Kundt's Tube Simulation.mph
% Version:            COMSOL 6.4.0.343
% Date:               Mar 9 2026, 15:57
% Dimension:          2
% Nodes:              354
% Expressions:        1
% Description:        Acoustic pressure
% Length unit:        m
% R                       Z                        p (Pa) @ freq=400
0.033297190138781484      0.048432261511981205     -6.784610195796259i
0.041660116564679515      0.042279125828808474     -6.394560038086889i
0.05                      0.03600000000000003      -5.983145688510491i
0.008401309247102117      0.07832247945768524      -8.469829729949922i
0                         0.08399999999999995      -8.746404716433789i
0.016770734068308348      0.07255002634174247      -8.173624612870677i
0.025129172136003974      0.06669298006378405      -7.858155772817727i
0.03351391474371064       0.060760829544469964     -7.523911744498181i
0.041754605472905056      0.054390874279348196     -7.149210158508141i
0.05                      0.04800000000000004      -6.757648736862412i
0.008424941558256493      0.0903669835735829       -9.038562953761994i
0                         0.09599999999999996      -9.28068182214799i
0.016827296417406247      0.08464437019281057      -8.776848470086831i
0.0252105210865092        0.07880877547357985      -8.494099401204538i
0.03362266487438738       0.07298319338605411      -8.196366183193403i
0.04183226219508739       0.0664870569793477       -7.846798312810049i
0.05                      0.06000000000000005      -7.4800016833149465i
0.008447261584315512      0.10244794630473325      -9.538424214569789i
0                         0.10799999999999996      -9.74333815783358i
0.016859584117685723      0.09673332366543215      -9.311049073724718i
0.025247265986197878      0.09089971390106075      -9.06212607658068i
0.03365963182733565       0.08505724528455416      -8.796252472666971i
0.04182858713931745       0.07851694926034271      -8.479548161527289i
0.05                      0.07199999999999993      -8.144630080698262i
0.008459714777324013      0.11451397458147643      -9.963201413622661i
0                         0.11999999999999997      -10.130803336817898i
0.016862867360404356      0.10874243387752985      -9.769526585014242i
0.02525034731046598       0.10291565556742635      -9.55629941341868i
0.03363600502336487       0.09709444773937526      -9.325905004817491i
0.041826270621452055      0.09054303981481125      -9.046365371128127i
0.05                      0.08399999999999994      -8.746404881106951i
0.008461777733460513      0.12655815036232132      -10.309686159382736i
0                         0.13199999999999998      -10.44008721493822i
0.016868067861715377      0.12078041007478497      -10.153323670778237i
0.025237103818354912      0.11487069741995742      -9.974591178838677i
0.033577125758276725      0.10886917546127252      -9.773967950091814i
0.04183240658020407       0.10258428636209119      -9.543646551967164i
0.05                      0.09599999999999995      -9.280682016598602i
0.008461669398710051      0.13858612105578233      -10.575719152438197i
0                         0.14399999999999996      -10.668803003433077i
0.016867879544445064      0.13281004889834944      -10.458085808283426i
0.025247455502223192      0.12692140137848604      -10.31890294786727i
0.033604040193691495      0.12095117999254867      -10.158207337087402i
0.04184772693101444       0.11460619003486755      -9.966152296809824i
0.05                      0.10799999999999996      -9.743338435767955i
0.008457302784627363      0.15058860396363904      -10.759454481279535i
0                         0.15599999999999994      -10.815185651263656i
0.016865116670824635      0.14483473113404852      -10.681666900324572i
0.025238025858940485      0.13892158142406694      -10.58197150671871i
0.033627209966979585      0.13304582297753623      -10.463255558858421i
0.041878002587901794      0.12666077792327723      -10.31229755839246i
0.05                      0.11999999999999997      -10.13080365326521i
0.008450905297849521      0.16255974001052792      -10.859968810737707i
0                         0.16799999999999995      -10.878105478964875i
0.01685642677001112       0.1568326208567853       -10.822255462337123i
0.025230713712948317      0.15094297460380446      -10.763622131085732i
0.03357451279464152       0.14491406937788667      -10.682868603434308i
0.04188153088730921       0.13870643701486343      -10.577969119030138i
0.05                      0.13200000000000003      -10.440087519182645i
0.008447945090877844      0.1745478402607183       -10.87704210776352i
0                         0.17999999999999997      -10.857076909813147i
0.01685329735530666       0.16884464130073107      -10.879373817467934i
0.02523027963616777       0.16299196520726908      -10.862040599522034i
0.033589047727352696      0.157041884129762        -10.823969064117302i
0.04182664937904725       0.15060789186671467      -10.759683154378534i
0.05                      0.144                    -10.668803307293524i
0.008450313175677383      0.18654057511639294      -10.810299574721334i
0                         0.1919999999999999       -10.752262240469738i
0.01685295359129604       0.1808452634957066       -10.852431300630117i
0.02522196769569078       0.17498450535549034      -10.876081536933782i
